,hour,weekday,month,off_cat,cnt
437,0,Sunday,Jan,Assault Offenses,21
438,0,Sunday,Jan,Burglary/Breaking & Entering,3
439,0,Sunday,Jan,Counterfeiting/Forgery,1
440,0,Sunday,Jan,Destruction/Damage/Vandalism of Property,4
441,0,Sunday,Jan,Drug/Narcotic Offenses,2
442,0,Sunday,Jan,Fraud Offenses,1
443,0,Sunday,Jan,Larceny/Theft Offenses,7
444,0,Sunday,Jan,Motor Vehicle Theft,3
445,0,Sunday,Jan,Robbery,1
446,0,Sunday,Jan,Weapon Law Violations,2
426,0,Sunday,Feb,Assault Offenses,32
427,0,Sunday,Feb,Burglary/Breaking & Entering,2
428,0,Sunday,Feb,Destruction/Damage/Vandalism of Property,6
429,0,Sunday,Feb,Drug/Narcotic Offenses,2
430,0,Sunday,Feb,Fraud Offenses,2
431,0,Sunday,Feb,Homicide Offenses,1
432,0,Sunday,Feb,Kidnapping/Abduction,1
433,0,Sunday,Feb,Larceny/Theft Offenses,3
434,0,Sunday,Feb,Motor Vehicle Theft,1
435,0,Sunday,Feb,Robbery,3
436,0,Sunday,Feb,Weapon Law Violations,3
470,0,Sunday,Mar,Assault Offenses,27
471,0,Sunday,Mar,Burglary/Breaking & Entering,1
472,0,Sunday,Mar,Counterfeiting/Forgery,1
473,0,Sunday,Mar,Destruction/Damage/Vandalism of Property,11
474,0,Sunday,Mar,Drug/Narcotic Offenses,3
475,0,Sunday,Mar,Larceny/Theft Offenses,9
476,0,Sunday,Mar,Motor Vehicle Theft,2
477,0,Sunday,Mar,Robbery,1
478,0,Sunday,Mar,Sex Offenses,1
479,0,Sunday,Mar,Weapon Law Violations,3
391,0,Sunday,Apr,Assault Offenses,26
392,0,Sunday,Apr,Burglary/Breaking & Entering,2
393,0,Sunday,Apr,Destruction/Damage/Vandalism of Property,14
394,0,Sunday,Apr,Drug/Narcotic Offenses,4
395,0,Sunday,Apr,Embezzlement,1
396,0,Sunday,Apr,Fraud Offenses,1
397,0,Sunday,Apr,Larceny/Theft Offenses,3
398,0,Sunday,Apr,Motor Vehicle Theft,1
399,0,Sunday,Apr,Sex Offenses,1
400,0,Sunday,Apr,Weapon Law Violations,3
480,0,Sunday,May,Assault Offenses,36
481,0,Sunday,May,Burglary/Breaking & Entering,4
482,0,Sunday,May,Destruction/Damage/Vandalism of Property,14
483,0,Sunday,May,Drug/Narcotic Offenses,6
484,0,Sunday,May,Larceny/Theft Offenses,3
485,0,Sunday,May,Motor Vehicle Theft,3
486,0,Sunday,May,Robbery,2
487,0,Sunday,May,Sex Offenses,1
488,0,Sunday,May,Stolen Property Offenses,3
489,0,Sunday,May,Weapon Law Violations,1
457,0,Sunday,Jun,Assault Offenses,47
458,0,Sunday,Jun,Burglary/Breaking & Entering,7
459,0,Sunday,Jun,Counterfeiting/Forgery,1
460,0,Sunday,Jun,Destruction/Damage/Vandalism of Property,22
461,0,Sunday,Jun,Drug/Narcotic Offenses,4
462,0,Sunday,Jun,Fraud Offenses,1
463,0,Sunday,Jun,Homicide Offenses,1
464,0,Sunday,Jun,Larceny/Theft Offenses,12
465,0,Sunday,Jun,Motor Vehicle Theft,1
